Del_MAP	psi	nC_MAP	p_MAP
2.42	0.001	8	0.0244155638973241
2.43	0.001	8	0.0243917782469584
2.44	0.001	8	0.0243680120534398
2.45	0.001	8	0.0243442653049482
2.46	0.001	8	0.0243205379896663
2.47	0.001	8	0.02429683009578
2.48	0.001	8	0.0242731416114781
2.49	0.001	8	0.0242494725249523
2.5	0.001	8	0.0242258228243974
2.51	0.001	8	0.0242021924980111
2.52	0.001	8	0.0241785815339941
2.53	0.001	8	0.0241549899205501
2.54	0.001	8	0.0241314176458859
2.55	0.001	8	0.0241078646982111
2.56	0.001	8	0.0240843310657385
2.57	0.001	8	0.0240608167366837
2.58	0.001	8	0.0240373216992655
2.59	0.001	8	0.0240138459417056
2.6	0.001	8	0.0239903894522287
2.61	0.001	8	0.0239669522190627
2.62	0.001	8	0.0239435342304383
2.63	0.001	8	0.0239201354745894
2.64	0.001	8	0.0238967559397527
2.65	0.001	8	0.0238733956141683
2.66	0.001	8	0.023850054486079
2.67	0.001	8	0.0238267325437308
2.68	0.001	8	0.0238034297753728
2.69	0.001	8	0.0237801461692569
2.7	0.001	8	0.0237568817136384
2.71	0.001	8	0.0237336363967754
2.72	0.001	8	0.0237104102069291
2.73	0.001	8	0.0236872031323639
2.74	0.001	8	0.0236640151613471
2.75	0.001	8	0.0236408462821491
2.76	0.001	8	0.0236176964830436
2.77	0.001	8	0.0235945657523069
2.78	0.001	8	0.023571454078219
2.79	0.001	8	0.0235483614490625
2.8	0.001	8	0.0235252878531232
2.81	0.001	8	0.0235022332786901
2.82	0.001	8	0.0234791977140553
2.83	0.001	8	0.0234561811475138
2.84	0.001	8	0.023433183567364
2.85	0.001	8	0.0234102049619071
2.86	0.001	8	0.0233872453194476
2.87	0.001	8	0.0233643046282932
2.88	0.001	8	0.0233413828767544
2.89	0.001	8	0.0233184800531451
2.9	0.001	8	0.0232955961457822
2.91	0.001	8	0.0232727311429857
2.92	0.001	8	0.0232498850330789
2.93	0.001	8	0.0232270578043881
2.94	0.001	8	0.0232042494452427
2.95	0.001	8	0.0231814599439753
2.96	0.001	8	0.0231586892889217
2.97	0.001	8	0.0231359374684208
2.98	0.001	8	0.0231132044708146
2.99	0.001	8	0.0230904902844482
3	0.001	8	0.0230677948976701
3.01	0.001	8	0.0230451182988318
3.02	0.001	8	0.0230224604762879
3.03	0.001	8	0.0229998214183963
3.04	0.001	8	0.022977201113518
3.05	0.001	8	0.0229545995500172
3.06	0.001	8	0.0229320167162612
3.07	0.001	8	0.0229094526006208
3.08	0.001	8	0.0228869071914694
3.09	0.001	8	0.0228643804771842
3.1	0.001	8	0.0228418724461452
3.11	0.001	8	0.0228193830867358
3.12	0.001	8	0.0227969123873424
3.13	0.001	8	0.0227744603363547
3.14	0.001	8	0.0227520269221657
3.15	0.001	8	0.0227296121331716
3.16	0.001	8	0.0227072159577716
3.17	0.001	8	0.0226848383843683
3.18	0.001	8	0.0226624794013675
3.19	0.001	8	0.0226401389971782
3.2	0.001	8	0.0226178171602125
3.21	0.001	8	0.0225955138788861
3.22	0.001	8	0.0225732291416174
3.23	0.001	8	0.0225509629368286
3.24	0.001	9	0.0226319799579348
3.25	0.001	9	0.022608561653495
3.26	0.001	9	0.022585163780368
3.27	0.001	9	0.0225617863251691
3.28	0.001	9	0.0225384292745178
3.29	0.001	9	0.0225150926150373
3.3	0.001	9	0.0224917763333548
3.31	0.001	9	0.0224684804161015
3.32	0.001	9	0.0224452048499127
3.33	0.001	9	0.0224219496214273
